year_month,category,order_count
2016-09-01,furniture_decor,2
2016-09-01,health_beauty,3
2016-09-01,telephony,1
2016-10-01,air_conditioning,10
2016-10-01,audio,2
2016-10-01,auto,12
2016-10-01,baby,14
2016-10-01,bed_bath_table,8
2016-10-01,books_general_interest,1
2016-10-01,books_technical,1
2016-10-01,computers_accessories,21
2016-10-01,consoles_games,10
2016-10-01,cool_stuff,8
2016-10-01,diapers_and_hygiene,1
2016-10-01,electronics,2
2016-10-01,fashio_female_clothing,1
2016-10-01,fashion_bags_accessories,9
2016-10-01,fashion_male_clothing,1
2016-10-01,fashion_shoes,1
2016-10-01,fixed_telephony,5
2016-10-01,food,1
2016-10-01,furniture_decor,67
2016-10-01,garden_tools,5
2016-10-01,health_beauty,48
2016-10-01,housewares,12
2016-10-01,industry_commerce_and_business,4
2016-10-01,market_place,13
2016-10-01,office_furniture,6
2016-10-01,perfumery,33
2016-10-01,pet_shop,4
2016-10-01,sports_leisure,19
2016-10-01,telephony,10
2016-10-01,toys,27
2016-10-01,watches_gifts,5
2016-12-01,fashion_bags_accessories,1
2017-01-01,agro_industry_and_commerce,3
2017-01-01,air_conditioning,4
2017-01-01,auto,34
2017-01-01,baby,41
2017-01-01,bed_bath_table,48
2017-01-01,books_general_interest,2
2017-01-01,computers,1
2017-01-01,computers_accessories,31
2017-01-01,consoles_games,23
2017-01-01,construction_tools_construction,1
2017-01-01,cool_stuff,40
2017-01-01,dvds_blu_ray,2
2017-01-01,electronics,11
2017-01-01,fashio_female_clothing,2
2017-01-01,fashion_bags_accessories,35
2017-01-01,fashion_male_clothing,1
2017-01-01,fashion_shoes,1
2017-01-01,fashion_underwear_beach,2
2017-01-01,fixed_telephony,22
2017-01-01,food,2
2017-01-01,furniture_bedroom,8
2017-01-01,furniture_decor,182
2017-01-01,furniture_living_room,10
2017-01-01,garden_tools,58
2017-01-01,health_beauty,85
2017-01-01,home_appliances_2,8
2017-01-01,home_comfort_2,2
2017-01-01,housewares,28
2017-01-01,kitchen_dining_laundry_garden_furniture,1
2017-01-01,luggage_accessories,5
2017-01-01,market_place,6
2017-01-01,music,2
2017-01-01,musical_instruments,1
2017-01-01,office_furniture,10
2017-01-01,perfumery,34
2017-01-01,pet_shop,15
2017-01-01,security_and_services,1
2017-01-01,small_appliances,6
2017-01-01,sports_leisure,80
2017-01-01,stationery,14
2017-01-01,telephony,26
2017-01-01,toys,43
2017-01-01,watches_gifts,11
2017-02-01,agro_industry_and_commerce,7
2017-02-01,air_conditioning,12
2017-02-01,audio,5
2017-02-01,auto,86
2017-02-01,baby,34
2017-02-01,bed_bath_table,165
2017-02-01,books_general_interest,8
2017-02-01,books_imported,1
2017-02-01,books_technical,1
2017-02-01,cine_photo,1
2017-02-01,computers,1
2017-02-01,computers_accessories,106
2017-02-01,consoles_games,18
2017-02-01,construction_tools_construction,3
2017-02-01,construction_tools_safety,1
2017-02-01,cool_stuff,70
2017-02-01,costruction_tools_garden,2
2017-02-01,dvds_blu_ray,1
2017-02-01,electronics,19
2017-02-01,fashio_female_clothing,4
2017-02-01,fashion_bags_accessories,39
2017-02-01,fashion_male_clothing,7
2017-02-01,fashion_shoes,3
2017-02-01,fashion_underwear_beach,8
2017-02-01,fixed_telephony,22
2017-02-01,food,9
2017-02-01,furniture_bedroom,1
2017-02-01,furniture_decor,266
2017-02-01,furniture_living_room,24
2017-02-01,garden_tools,72
2017-02-01,health_beauty,166
2017-02-01,home_appliances,7
2017-02-01,home_appliances_2,1
2017-02-01,home_confort,3
2017-02-01,home_construction,4
2017-02-01,housewares,81
2017-02-01,industry_commerce_and_business,1
2017-02-01,kitchen_dining_laundry_garden_furniture,2
2017-02-01,luggage_accessories,21
2017-02-01,market_place,22
2017-02-01,musical_instruments,9
2017-02-01,office_furniture,63
2017-02-01,perfumery,51
2017-02-01,pet_shop,40
2017-02-01,small_appliances,28
2017-02-01,sports_leisure,156
2017-02-01,stationery,19
2017-02-01,tablets_printing_image,8
2017-02-01,telephony,111
2017-02-01,toys,67
2017-02-01,watches_gifts,37
2017-03-01,agro_industry_and_commerce,2
2017-03-01,air_conditioning,17
2017-03-01,art,5
2017-03-01,audio,14
2017-03-01,auto,87
2017-03-01,baby,44
2017-03-01,bed_bath_table,289
2017-03-01,books_general_interest,25
2017-03-01,books_technical,2
2017-03-01,computers_accessories,174
2017-03-01,consoles_games,50
2017-03-01,construction_tools_construction,4
2017-03-01,construction_tools_safety,2
2017-03-01,cool_stuff,123
2017-03-01,drinks,5
2017-03-01,dvds_blu_ray,5
2017-03-01,electronics,37
2017-03-01,fashio_female_clothing,1
2017-03-01,fashion_bags_accessories,68
2017-03-01,fashion_male_clothing,9
2017-03-01,fashion_shoes,14
2017-03-01,fashion_sport,1
2017-03-01,fashion_underwear_beach,6
2017-03-01,fixed_telephony,21
2017-03-01,food,24
2017-03-01,food_drink,5
2017-03-01,furniture_decor,328
2017-03-01,furniture_living_room,24
2017-03-01,garden_tools,150
2017-03-01,health_beauty,211
2017-03-01,home_appliances,10
2017-03-01,home_appliances_2,2
2017-03-01,home_comfort_2,3
2017-03-01,home_confort,13
2017-03-01,home_construction,10
2017-03-01,housewares,204
2017-03-01,industry_commerce_and_business,2
2017-03-01,kitchen_dining_laundry_garden_furniture,3
2017-03-01,luggage_accessories,38
2017-03-01,market_place,17
2017-03-01,music,1
2017-03-01,musical_instruments,10
2017-03-01,office_furniture,78
2017-03-01,perfumery,106
2017-03-01,pet_shop,45
2017-03-01,signaling_and_security,1
2017-03-01,small_appliances,31
2017-03-01,sports_leisure,199
2017-03-01,stationery,56
2017-03-01,tablets_printing_image,5
2017-03-01,telephony,172
2017-03-01,toys,103
2017-03-01,watches_gifts,81
2017-04-01,air_conditioning,16
2017-04-01,art,1
2017-04-01,audio,11
2017-04-01,auto,88
2017-04-01,baby,51
2017-04-01,bed_bath_table,274
2017-04-01,books_general_interest,12
2017-04-01,books_imported,1
2017-04-01,books_technical,1
2017-04-01,christmas_supplies,1
2017-04-01,cine_photo,2
2017-04-01,computers_accessories,136
2017-04-01,consoles_games,17
2017-04-01,cool_stuff,121
2017-04-01,costruction_tools_garden,8
2017-04-01,costruction_tools_tools,1
2017-04-01,drinks,7
2017-04-01,dvds_blu_ray,2
2017-04-01,electronics,48
2017-04-01,fashio_female_clothing,1
2017-04-01,fashion_bags_accessories,50
2017-04-01,fashion_male_clothing,7
2017-04-01,fashion_shoes,23
2017-04-01,fashion_sport,4
2017-04-01,fashion_underwear_beach,4
2017-04-01,fixed_telephony,11
2017-04-01,food,8
2017-04-01,food_drink,3
2017-04-01,furniture_bedroom,5
2017-04-01,furniture_decor,203
2017-04-01,furniture_living_room,12
2017-04-01,furniture_mattress_and_upholstery,1
2017-04-01,garden_tools,119
2017-04-01,health_beauty,189
2017-04-01,home_appliances,10
2017-04-01,home_appliances_2,2
2017-04-01,home_comfort_2,1
2017-04-01,home_confort,17
2017-04-01,home_construction,5
2017-04-01,housewares,183
2017-04-01,kitchen_dining_laundry_garden_furniture,9
2017-04-01,la_cuisine,1
2017-04-01,luggage_accessories,49
2017-04-01,market_place,20
2017-04-01,music,2
2017-04-01,musical_instruments,16
2017-04-01,office_furniture,58
2017-04-01,perfumery,105
2017-04-01,pet_shop,51
2017-04-01,signaling_and_security,3
2017-04-01,small_appliances,21
2017-04-01,sports_leisure,218
2017-04-01,stationery,36
2017-04-01,tablets_printing_image,11
2017-04-01,telephony,145
2017-04-01,toys,113
2017-04-01,watches_gifts,97
2017-05-01,agro_industry_and_commerce,4
2017-05-01,air_conditioning,8
2017-05-01,art,8
2017-05-01,arts_and_craftmanship,1
2017-05-01,audio,17
2017-05-01,auto,125
2017-05-01,baby,108
2017-05-01,bed_bath_table,369
2017-05-01,books_general_interest,20
2017-05-01,books_technical,3
2017-05-01,cine_photo,1
2017-05-01,computers_accessories,320
2017-05-01,consoles_games,29
2017-05-01,construction_tools_construction,1
2017-05-01,cool_stuff,247
2017-05-01,costruction_tools_garden,8
2017-05-01,costruction_tools_tools,2
2017-05-01,drinks,1
2017-05-01,dvds_blu_ray,4
2017-05-01,electronics,68
2017-05-01,fashio_female_clothing,5
2017-05-01,fashion_bags_accessories,110
2017-05-01,fashion_childrens_clothes,1
2017-05-01,fashion_male_clothing,4
2017-05-01,fashion_shoes,22
2017-05-01,fashion_sport,3
2017-05-01,fashion_underwear_beach,7
2017-05-01,fixed_telephony,10
2017-05-01,food,3
2017-05-01,food_drink,17
2017-05-01,furniture_bedroom,9
2017-05-01,furniture_decor,279
2017-05-01,furniture_living_room,34
2017-05-01,furniture_mattress_and_upholstery,3
2017-05-01,garden_tools,141
2017-05-01,health_beauty,290
2017-05-01,home_appliances,28
2017-05-01,home_appliances_2,9
2017-05-01,home_confort,37
2017-05-01,home_construction,7
2017-05-01,housewares,307
2017-05-01,industry_commerce_and_business,2
2017-05-01,kitchen_dining_laundry_garden_furniture,9
2017-05-01,la_cuisine,1
2017-05-01,luggage_accessories,70
2017-05-01,market_place,22
2017-05-01,musical_instruments,21
2017-05-01,office_furniture,56
2017-05-01,perfumery,145
2017-05-01,pet_shop,73
2017-05-01,signaling_and_security,4
2017-05-01,small_appliances,18
2017-05-01,sports_leisure,316
2017-05-01,stationery,66
2017-05-01,tablets_printing_image,7
2017-05-01,telephony,224
2017-05-01,toys,200
2017-05-01,watches_gifts,135
2017-06-01,agro_industry_and_commerce,1
2017-06-01,air_conditioning,11
2017-06-01,art,10
2017-06-01,audio,11
2017-06-01,auto,112
2017-06-01,baby,78
2017-06-01,bed_bath_table,382
2017-06-01,books_general_interest,21
2017-06-01,books_imported,2
2017-06-01,books_technical,2
2017-06-01,christmas_supplies,3
2017-06-01,cine_photo,1
2017-06-01,computers_accessories,261
2017-06-01,consoles_games,30
2017-06-01,construction_tools_construction,8
2017-06-01,cool_stuff,201
2017-06-01,costruction_tools_garden,4
2017-06-01,drinks,1
2017-06-01,dvds_blu_ray,4
2017-06-01,electronics,42
2017-06-01,fashio_female_clothing,3
2017-06-01,fashion_bags_accessories,83
2017-06-01,fashion_childrens_clothes,1
2017-06-01,fashion_male_clothing,10
2017-06-01,fashion_shoes,20
2017-06-01,fashion_sport,6
2017-06-01,fashion_underwear_beach,1
2017-06-01,fixed_telephony,12
2017-06-01,food,1
2017-06-01,food_drink,2
2017-06-01,furniture_bedroom,2
2017-06-01,furniture_decor,233
2017-06-01,furniture_living_room,15
2017-06-01,garden_tools,114
2017-06-01,health_beauty,260
2017-06-01,home_appliances,43
2017-06-01,home_appliances_2,6
2017-06-01,home_comfort_2,1
2017-06-01,home_confort,18
2017-06-01,home_construction,8
2017-06-01,housewares,331
2017-06-01,industry_commerce_and_business,2
2017-06-01,kitchen_dining_laundry_garden_furniture,4
2017-06-01,luggage_accessories,61
2017-06-01,market_place,16
2017-06-01,music,4
2017-06-01,musical_instruments,20
2017-06-01,office_furniture,50
2017-06-01,perfumery,154
2017-06-01,pet_shop,64
2017-06-01,signaling_and_security,2
2017-06-01,small_appliances,23
2017-06-01,small_appliances_home_oven_and_coffee,1
2017-06-01,sports_leisure,277
2017-06-01,stationery,38
2017-06-01,tablets_printing_image,6
2017-06-01,telephony,160
2017-06-01,toys,158
2017-06-01,watches_gifts,124
2017-07-01,agro_industry_and_commerce,1
2017-07-01,air_conditioning,5
2017-07-01,art,3
2017-07-01,arts_and_craftmanship,1
2017-07-01,audio,7
2017-07-01,auto,117
2017-07-01,baby,129
2017-07-01,bed_bath_table,579
2017-07-01,books_general_interest,13
2017-07-01,books_technical,2
2017-07-01,cds_dvds_musicals,5
2017-07-01,christmas_supplies,2
2017-07-01,computers_accessories,326
2017-07-01,consoles_games,48
2017-07-01,construction_tools_construction,6
2017-07-01,construction_tools_lights,1
2017-07-01,cool_stuff,230
2017-07-01,costruction_tools_garden,8
2017-07-01,drinks,3
2017-07-01,dvds_blu_ray,4
2017-07-01,electronics,97
2017-07-01,fashio_female_clothing,4
2017-07-01,fashion_bags_accessories,88
2017-07-01,fashion_male_clothing,9
2017-07-01,fashion_shoes,20
2017-07-01,fashion_sport,1
2017-07-01,fashion_underwear_beach,3
2017-07-01,fixed_telephony,9
2017-07-01,food,7
2017-07-01,food_drink,8
2017-07-01,furniture_bedroom,5
2017-07-01,furniture_decor,320
2017-07-01,furniture_living_room,31
2017-07-01,furniture_mattress_and_upholstery,1
2017-07-01,garden_tools,190
2017-07-01,health_beauty,316
2017-07-01,home_appliances,37
2017-07-01,home_appliances_2,7
2017-07-01,home_comfort_2,1
2017-07-01,home_confort,43
2017-07-01,home_construction,2
2017-07-01,housewares,276
2017-07-01,industry_commerce_and_business,2
2017-07-01,kitchen_dining_laundry_garden_furniture,11
2017-07-01,la_cuisine,4
2017-07-01,luggage_accessories,74
2017-07-01,market_place,13
2017-07-01,music,1
2017-07-01,musical_instruments,32
2017-07-01,office_furniture,115
2017-07-01,party_supplies,1
2017-07-01,perfumery,126
2017-07-01,pet_shop,86
2017-07-01,signaling_and_security,6
2017-07-01,small_appliances,34
2017-07-01,sports_leisure,387
2017-07-01,stationery,80
2017-07-01,tablets_printing_image,2
2017-07-01,telephony,144
2017-07-01,toys,207
2017-07-01,watches_gifts,168
2017-08-01,agro_industry_and_commerce,4
2017-08-01,air_conditioning,15
2017-08-01,art,4
2017-08-01,audio,7
2017-08-01,auto,166
2017-08-01,baby,132
2017-08-01,bed_bath_table,512
2017-08-01,books_general_interest,29
2017-08-01,books_imported,1
2017-08-01,books_technical,9
2017-08-01,cds_dvds_musicals,3
2017-08-01,christmas_supplies,1
2017-08-01,computers,29
2017-08-01,computers_accessories,350
2017-08-01,consoles_games,90
2017-08-01,construction_tools_construction,7
2017-08-01,construction_tools_lights,2
2017-08-01,construction_tools_safety,1
2017-08-01,cool_stuff,264
2017-08-01,costruction_tools_garden,10
2017-08-01,drinks,2
2017-08-01,dvds_blu_ray,6
2017-08-01,electronics,56
2017-08-01,fashio_female_clothing,4
2017-08-01,fashion_bags_accessories,99
2017-08-01,fashion_childrens_clothes,1
2017-08-01,fashion_male_clothing,15
2017-08-01,fashion_shoes,22
2017-08-01,fashion_sport,2
2017-08-01,fashion_underwear_beach,13
2017-08-01,fixed_telephony,20
2017-08-01,food,8
2017-08-01,food_drink,15
2017-08-01,furniture_bedroom,3
2017-08-01,furniture_decor,436
2017-08-01,furniture_living_room,23
2017-08-01,furniture_mattress_and_upholstery,2
2017-08-01,garden_tools,238
2017-08-01,health_beauty,360
2017-08-01,home_appliances,49
2017-08-01,home_appliances_2,17
2017-08-01,home_comfort_2,3
2017-08-01,home_confort,28
2017-08-01,home_construction,1
2017-08-01,housewares,288
2017-08-01,industry_commerce_and_business,3
2017-08-01,kitchen_dining_laundry_garden_furniture,7
2017-08-01,la_cuisine,2
2017-08-01,luggage_accessories,63
2017-08-01,market_place,23
2017-08-01,musical_instruments,27
2017-08-01,office_furniture,58
2017-08-01,perfumery,128
2017-08-01,pet_shop,90
2017-08-01,signaling_and_security,4
2017-08-01,small_appliances,36
2017-08-01,small_appliances_home_oven_and_coffee,2
2017-08-01,sports_leisure,425
2017-08-01,stationery,80
2017-08-01,tablets_printing_image,6
2017-08-01,telephony,136
2017-08-01,toys,184
2017-08-01,watches_gifts,212
2017-09-01,agro_industry_and_commerce,4
2017-09-01,air_conditioning,8
2017-09-01,art,3
2017-09-01,audio,10
2017-09-01,auto,108
2017-09-01,baby,174
2017-09-01,bed_bath_table,533
2017-09-01,books_general_interest,15
2017-09-01,books_imported,4
2017-09-01,books_technical,8
2017-09-01,christmas_supplies,4
2017-09-01,cine_photo,1
2017-09-01,computers,41
2017-09-01,computers_accessories,253
2017-09-01,consoles_games,66
2017-09-01,construction_tools_construction,11
2017-09-01,construction_tools_lights,1
2017-09-01,construction_tools_safety,5
2017-09-01,cool_stuff,207
2017-09-01,costruction_tools_garden,6
2017-09-01,costruction_tools_tools,3
2017-09-01,drinks,8
2017-09-01,dvds_blu_ray,2
2017-09-01,electronics,67
2017-09-01,fashio_female_clothing,4
2017-09-01,fashion_bags_accessories,124
2017-09-01,fashion_childrens_clothes,1
2017-09-01,fashion_male_clothing,16
2017-09-01,fashion_shoes,14
2017-09-01,fashion_sport,5
2017-09-01,fashion_underwear_beach,18
2017-09-01,fixed_telephony,13
2017-09-01,food,17
2017-09-01,food_drink,9
2017-09-01,furniture_bedroom,4
2017-09-01,furniture_decor,348
2017-09-01,furniture_living_room,11
2017-09-01,furniture_mattress_and_upholstery,1
2017-09-01,garden_tools,225
2017-09-01,health_beauty,380
2017-09-01,home_appliances,10
2017-09-01,home_appliances_2,6
2017-09-01,home_comfort_2,1
2017-09-01,home_confort,33
2017-09-01,home_construction,11
2017-09-01,housewares,255
2017-09-01,industry_commerce_and_business,2
2017-09-01,kitchen_dining_laundry_garden_furniture,5
2017-09-01,luggage_accessories,42
2017-09-01,market_place,11
2017-09-01,musical_instruments,28
2017-09-01,office_furniture,61
2017-09-01,party_supplies,2
2017-09-01,perfumery,160
2017-09-01,pet_shop,71
2017-09-01,security_and_services,1
2017-09-01,signaling_and_security,9
2017-09-01,small_appliances,33
2017-09-01,small_appliances_home_oven_and_coffee,1
2017-09-01,sports_leisure,461
2017-09-01,stationery,77
2017-09-01,tablets_printing_image,3
2017-09-01,telephony,177
2017-09-01,toys,297
2017-09-01,watches_gifts,268
2017-10-01,agro_industry_and_commerce,5
2017-10-01,air_conditioning,12
2017-10-01,art,3
2017-10-01,audio,32
2017-10-01,auto,150
2017-10-01,baby,138
2017-10-01,bed_bath_table,545
2017-10-01,books_general_interest,11
2017-10-01,books_technical,6
2017-10-01,cds_dvds_musicals,1
2017-10-01,christmas_supplies,12
2017-10-01,cine_photo,1
2017-10-01,computers,27
2017-10-01,computers_accessories,322
2017-10-01,consoles_games,109
2017-10-01,construction_tools_construction,19
2017-10-01,construction_tools_lights,2
2017-10-01,construction_tools_safety,12
2017-10-01,cool_stuff,258
2017-10-01,costruction_tools_garden,9
2017-10-01,costruction_tools_tools,5
2017-10-01,drinks,12
2017-10-01,dvds_blu_ray,5
2017-10-01,electronics,63
2017-10-01,fashion_bags_accessories,110
2017-10-01,fashion_childrens_clothes,1
2017-10-01,fashion_male_clothing,11
2017-10-01,fashion_shoes,18
2017-10-01,fashion_sport,1
2017-10-01,fashion_underwear_beach,3
2017-10-01,fixed_telephony,7
2017-10-01,food,17
2017-10-01,food_drink,17
2017-10-01,furniture_bedroom,4
2017-10-01,furniture_decor,379
2017-10-01,furniture_living_room,19
2017-10-01,garden_tools,281
2017-10-01,health_beauty,361
2017-10-01,home_appliances,8
2017-10-01,home_appliances_2,10
2017-10-01,home_comfort_2,5
2017-10-01,home_confort,27
2017-10-01,home_construction,18
2017-10-01,housewares,235
2017-10-01,industry_commerce_and_business,5
2017-10-01,kitchen_dining_laundry_garden_furniture,16
2017-10-01,la_cuisine,1
2017-10-01,luggage_accessories,56
2017-10-01,market_place,11
2017-10-01,music,1
2017-10-01,musical_instruments,27
2017-10-01,office_furniture,102
2017-10-01,party_supplies,2
2017-10-01,perfumery,189
2017-10-01,pet_shop,76
2017-10-01,signaling_and_security,10
2017-10-01,small_appliances,32
2017-10-01,sports_leisure,471
2017-10-01,stationery,101
2017-10-01,tablets_printing_image,1
2017-10-01,telephony,253
2017-10-01,toys,290
2017-10-01,watches_gifts,314
2017-11-01,agro_industry_and_commerce,19
2017-11-01,air_conditioning,19
2017-11-01,art,1
2017-11-01,audio,36
2017-11-01,auto,263
2017-11-01,baby,203
2017-11-01,bed_bath_table,975
2017-11-01,books_general_interest,38
2017-11-01,books_imported,4
2017-11-01,books_technical,6
2017-11-01,cds_dvds_musicals,3
2017-11-01,christmas_supplies,24
2017-11-01,cine_photo,1
2017-11-01,computers,7
2017-11-01,computers_accessories,532
2017-11-01,consoles_games,134
2017-11-01,construction_tools_construction,47
2017-11-01,construction_tools_lights,10
2017-11-01,construction_tools_safety,15
2017-11-01,cool_stuff,302
2017-11-01,costruction_tools_garden,17
2017-11-01,costruction_tools_tools,5
2017-11-01,drinks,19
2017-11-01,dvds_blu_ray,3
